id,lat,lng,category,source
potential-map2-0170,50.40208,-4.19331,undifferentiated,1940s-map
potential-map2-0171,50.40220,-4.18481,undifferentiated,1940s-map
potential-map2-0172,50.40216,-4.15489,undifferentiated,1940s-map
potential-map2-0173,50.40219,-4.15085,undifferentiated,1940s-map
potential-map2-0174,50.40226,-4.13252,undifferentiated,1940s-map
potential-map2-0175,50.40229,-4.12309,undifferentiated,1940s-map
potential-map2-0176,50.40222,-4.12200,undifferentiated,1940s-map
potential-map2-0177,50.40203,-4.20718,undifferentiated,1940s-map
potential-map2-0178,50.40213,-4.17598,undifferentiated,1940s-map
potential-map2-0179,50.40210,-4.15942,undifferentiated,1940s-map
potential-map2-0180,50.40197,-4.18716,undifferentiated,1940s-map
potential-map2-0181,50.40199,-4.17320,undifferentiated,1940s-map
potential-map2-0182,50.40204,-4.17203,undifferentiated,1940s-map
potential-map2-0183,50.40202,-4.15818,undifferentiated,1940s-map
potential-map2-0184,50.40151,-4.19231,undifferentiated,1940s-map
potential-map2-0185,50.40177,-4.19272,undifferentiated,1940s-map
potential-map2-0186,50.40185,-4.15531,undifferentiated,1940s-map
potential-map2-0187,50.40189,-4.15306,undifferentiated,1940s-map
potential-map2-0188,50.40188,-4.13245,undifferentiated,1940s-map
potential-map2-0189,50.40169,-4.21134,undifferentiated,1940s-map
potential-map2-0190,50.40171,-4.18587,undifferentiated,1940s-map
potential-map2-0191,50.40172,-4.18344,undifferentiated,1940s-map
potential-map2-0192,50.40177,-4.15373,undifferentiated,1940s-map
potential-map2-0193,50.40179,-4.13142,undifferentiated,1940s-map
potential-map2-0194,50.40180,-4.12762,undifferentiated,1940s-map
potential-map2-0195,50.40178,-4.11006,undifferentiated,1940s-map
potential-map2-0196,50.40140,-4.21510,undifferentiated,1940s-map
potential-map2-0197,50.40153,-4.15471,undifferentiated,1940s-map
potential-map2-0198,50.40158,-4.15182,undifferentiated,1940s-map
potential-map2-0199,50.40146,-4.20420,undifferentiated,1940s-map
potential-map2-0200,50.40156,-4.12310,undifferentiated,1940s-map
potential-map2-0201,50.40153,-4.12200,undifferentiated,1940s-map
potential-map2-0202,50.40136,-4.21012,undifferentiated,1940s-map
potential-map2-0203,50.40136,-4.20521,undifferentiated,1940s-map
